,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31
log_daily_return,0.002395056224368913,-0.3981740153524361,0.011156273988192895,0.03582632833564957,0.07159792561202535,0.03467508822046007,-0.0937723084331792,0.030097568488757172,-0.022580428991076002,0.00709623989543464,0.010078269793974026,-0.19435194966237318,0.14385656950713854,0.04429542331883837,-0.07683174100464404,0.01861886279714106,-0.10196435718870342,0.4990842773886237,0.28663989349205615,-0.05634334991940019,0.036037267847699714,0.025180430022766893,-0.04330732767486844,-0.01227761613626107,-0.013640321462388324,-0.10384181068597757,0.5515452682677174,0.22305864203515863,-0.2069871371837546,0.011264471895455696,0.0
20d_return,-0.17698132556366666,-0.10749361019907244,-0.28457538821151995,-0.30177515711501224,-0.008967289342963355,0.3055502732654548,0.02223480786010415,0.0869927544590262,0.11563081806278733,-0.026941261209953073,-0.04897897191973715,-0.23692197997250744,0.1470830802144723,-0.024811297137598092,-0.030574578278375175,0.1827795205652306,-0.11907141168693262,-0.04200385064345771,-0.16859500485580314,-0.024404196454566037,0.05920787040543481,-0.10563565117475629,-0.02290073167261019,-0.5031502576572456,-0.20089719645034254,0.20513775631840392,0.06380613077516475,-0.3230077229457391,0.0260714489195486,0.22251064922503083,-1.175029919036589e-13
5d_volatility,0.29394311779115495,0.028704147678182856,-0.005924403530621534,0.08033714097141713,0.14541035376606073,-0.02362952089730966,-0.15647709181667485,0.09142081168766301,0.0006539798399039037,-0.10028714143373293,-0.02382172157945973,-0.047162919582996704,-0.00026203823732333966,0.04369241738008516,0.06592674670345053,-0.033617303784544084,-0.07601281439767227,-0.09136225478509467,0.13257649954920414,-0.04292106353502931,0.43259153638676995,0.31620825984016304,0.6260554227132554,-0.2286157756870488,-0.18132806358014134,0.030451060690000704,-0.09251739545819816,0.1511242961850579,0.03598447896357611,0.011234856208119383,-3.8036805668476505e-15
20d_volatility,0.3323939090124561,0.008120821356564422,-0.0716075312055996,-0.05950757966322983,0.03819451849306398,0.01961660267163994,0.01189629031139295,0.0196953167391931,0.03458143425632652,-0.012567675547890175,-0.0684547096184124,-0.017367515477849104,0.004090562505141552,0.012725755101818484,0.0429121965845904,0.04400414223511239,-0.1499234269996324,-0.047543990102540346,0.010809495648650745,0.06326239607415071,0.017007771920452542,-0.007289823997126276,-0.025968275790057668,0.0032923223802545825,0.16428383405278016,-0.14630606606203841,0.131593685196439,-0.3613886485997751,-0.04191830420340053,-0.37437149281195486,-0.7071067811863742
60d_volatility,0.27633847660287336,0.0069885052433608175,-0.2391904926902818,0.009576641063354896,0.02011046302695654,0.1795765514000116,-0.06586748502530462,0.10995126957120083,0.14310710279650096,0.11420111366728566,-0.13993728652405896,0.08999098719477978,0.0024363708042597207,-0.0785131695980279,-0.010007834371346959,-0.07668223495577144,-0.07283921502772622,0.021510662361314072,0.021451691001547313,0.024721210446446654,-0.015026993717935894,-0.054374017723647014,-0.27886531686297,-0.3756876937635605,0.44754304956230667,0.010569588995440861,-0.23293954754289764,0.5097581352785464,0.015355198483079702,-0.012884029227775005,2.2589795529505544e-14
vol_of_vol_20d,0.24252904319210752,0.008495127800733348,-0.03468270028590953,-0.19236106299428116,0.09272132707504266,0.07329140240315198,-0.23725583836096098,0.027078204382992462,0.1286963251859376,0.12648798548991175,0.00873453664641658,0.25127197533405804,-0.2522252197008321,0.07461473941936198,0.030181888081798995,0.022431777708295013,0.5223615430321227,0.37851828710649643,-0.2286172537297981,-0.07970983468051197,0.10568265700906178,-0.3779035789300244,0.12783251308685334,0.018602528321611113,-0.12631165627874413,-0.003482313115439103,0.021557444130350344,-0.060626041998292766,0.00047168551172617273,-0.0017138945263932412,-1.51409272254126e-15
realized_quarticity_20d,0.24754204264603796,-0.0030998177240040524,-0.019026069909589476,-0.2907616022575848,0.14923022021533552,-0.24739932411089935,-0.10694255380748278,-0.09524460937717602,-0.19984664827980061,0.05320418295426351,0.02264369350290048,-0.10387416128649604,-0.1865563404110041,-0.17872269123959145,-0.29853522653314013,-0.04821674631636554,0.06536705071888252,-0.13663996698500167,0.09857224847396734,0.10248359126802252,-0.042074843787968545,0.11069005262199261,-0.11165669329394388,0.07721229976190101,0.06012732037369771,0.62370918998161,0.221542172707316,0.024008208361070513,0.13611467989639386,0.03364998134141194,-1.3948598080594645e-14
realized_skew_20d,-0.006482533354568394,-0.04641732787427462,-0.25114454541723147,-0.03659371365656604,-0.25934347820692893,-0.4124446648488389,-0.18615562022798327,0.37746523557118455,-0.08206498980791259,-0.155222347881073,0.033711467534810614,0.3024079553635928,0.00938644707833714,0.5297809839635599,-0.20802186956258228,0.17070201937729762,-0.1387984601095359,-0.038196153703273845,0.0403292148561543,0.0039910188604734605,-0.09093054355160923,-0.037381127909331166,-0.018348357100978815,-0.048864651869955436,0.004068942070170205,0.0008230121132841946,0.006888768818450379,-0.01738908734469982,0.0044950845157101646,0.0846137162290552,-4.275078307955842e-14
realized_kurtosis_20d,-0.03615218377693718,0.031183424383471017,0.1230919171342151,-0.10421079079369835,0.33571254909432596,0.43335075090426173,0.12427828230304454,0.051030790787081934,-0.4328361480966241,0.1912469350211987,0.3822769330548058,0.3378182644305841,-0.08984684067978692,0.22392544103144424,-0.13605719073087089,-0.07886208618481473,-0.277039821369674,-0.013125053619460696,0.0401156810319587,-0.0002801906667333438,0.0030164877032173767,-0.06359252840057267,0.03902685804159847,-0.0345127187019068,0.020095697112683136,-0.014192641872767052,-0.0012102674315200327,-0.006649703880304582,-0.004926007894371014,0.00797854032251095,-4.391747744699536e-15
return_Zscore_20d,0.03014073861313381,-0.37253999643518954,0.06787329350184808,0.13103824482793727,0.05022201432248676,0.00764526847732684,-0.05749045030800356,0.08970877151720874,0.06928106420337125,-0.23559317487490503,0.18821551945658102,0.048441472735978194,-0.06276261719700477,-0.2496398267690986,-0.11333740355567254,0.1269194220643156,-0.12210984639292921,0.3796434747371383,0.1567253354460688,0.3174510096027629,-0.046482425136960805,0.009469699298225949,-0.00458396999031684,0.05073051509165222,0.0011466829326035233,0.10908438276475657,-0.5023632698822769,-0.21735179024356727,0.17468757877039465,-0.007445266231523354,-2.434806229863743e-15
