,loading
current_drawdown,-0.25649112166431504
slope_MA_20,-0.20958935077221091
VRP_Proxy,-0.20205462397666724
20d_return,-0.17698132556366666
RSI_20,-0.16594320914589522
slope_MA_50,-0.15408696625613316
max_drawdown_252d,-0.15211902971340255
ret_x_VIX,-0.12024569376469796
vol_ratio,0.229104513462017
vol_of_vol_20d,0.24252904319210752
realized_quarticity_20d,0.24754204264603796
60d_volatility,0.27633847660287336
5d_volatility,0.29394311779115495
20d_volatility,0.3323939090124561
realized_vol_20d_ann,0.33239390901245647
downside_dev_20d,0.33363348136872006
